algorithm,problem_id,run_id,evaluations,fitness
MultiObjective,2200,9,10000,-1209.0
MultiObjective,2200,9,20000,-779.0
MultiObjective,2200,9,30000,-477.0
MultiObjective,2200,9,50000,-120.0
MultiObjective,2200,9,70000,-7.0
MultiObjective,2200,9,100000,827.6999999999999
MultiObjective,2200,10,100,-1897.0
MultiObjective,2200,10,200,-1870.0
MultiObjective,2200,10,500,-1792.0
MultiObjective,2200,10,1000,-1744.0
MultiObjective,2200,10,2000,-1626.0
MultiObjective,2200,10,3000,-1572.0
MultiObjective,2200,10,5000,-1459.0
MultiObjective,2200,10,7000,-1361.0
MultiObjective,2200,10,10000,-1205.0
MultiObjective,2200,10,20000,-809.0
MultiObjective,2200,10,30000,-504.0
MultiObjective,2200,10,50000,-124.0
MultiObjective,2200,10,70000,-6.0
MultiObjective,2200,10,100000,804.0100000000002
MultiObjective,2200,11,100,-1916.0
MultiObjective,2200,11,200,-1845.0
MultiObjective,2200,11,500,-1786.0
MultiObjective,2200,11,1000,-1747.0
MultiObjective,2200,11,2000,-1625.0
MultiObjective,2200,11,3000,-1529.0
MultiObjective,2200,11,5000,-1435.0
MultiObjective,2200,11,7000,-1337.0
MultiObjective,2200,11,10000,-1182.0
MultiObjective,2200,11,20000,-808.0
MultiObjective,2200,11,30000,-520.0
MultiObjective,2200,11,50000,-150.0
MultiObjective,2200,11,70000,-16.0
MultiObjective,2200,11,100000,760.0600000000003
MultiObjective,2200,12,100,-1933.0
MultiObjective,2200,12,200,-1892.0
MultiObjective,2200,12,500,-1804.0
MultiObjective,2200,12,1000,-1777.0
MultiObjective,2200,12,2000,-1660.0
MultiObjective,2200,12,3000,-1575.0
MultiObjective,2200,12,5000,-1456.0
MultiObjective,2200,12,7000,-1362.0
MultiObjective,2200,12,10000,-1224.0
MultiObjective,2200,12,20000,-809.0
MultiObjective,2200,12,30000,-510.0
MultiObjective,2200,12,50000,-118.0
MultiObjective,2200,12,70000,-13.0
MultiObjective,2200,12,100000,798.55
MultiObjective,2200,13,100,-1903.0
MultiObjective,2200,13,200,-1862.0
MultiObjective,2200,13,500,-1796.0
MultiObjective,2200,13,1000,-1770.0
MultiObjective,2200,13,2000,-1602.0
MultiObjective,2200,13,3000,-1532.0
MultiObjective,2200,13,5000,-1416.0
MultiObjective,2200,13,7000,-1312.0
MultiObjective,2200,13,10000,-1153.0
MultiObjective,2200,13,20000,-764.0
MultiObjective,2200,13,30000,-474.0
MultiObjective,2200,13,50000,-122.0
MultiObjective,2200,13,70000,-9.0
MultiObjective,2200,13,100000,864.0699999999999
MultiObjective,2200,14,100,-1931.0
MultiObjective,2200,14,200,-1881.0
MultiObjective,2200,14,500,-1794.0
MultiObjective,2200,14,1000,-1760.0
MultiObjective,2200,14,2000,-1626.0
MultiObjective,2200,14,3000,-1583.0
MultiObjective,2200,14,5000,-1480.0
MultiObjective,2200,14,7000,-1368.0
MultiObjective,2200,14,10000,-1240.0
MultiObjective,2200,14,20000,-822.0
MultiObjective,2200,14,30000,-502.0
MultiObjective,2200,14,50000,-138.0
MultiObjective,2200,14,70000,-10.0
MultiObjective,2200,14,100000,779.8699999999998
MultiObjective,2200,15,100,-1913.0
MultiObjective,2200,15,200,-1879.0
MultiObjective,2200,15,500,-1833.0
MultiObjective,2200,15,1000,-1792.0
MultiObjective,2200,15,2000,-1686.0
MultiObjective,2200,15,3000,-1548.0
MultiObjective,2200,15,5000,-1446.0
MultiObjective,2200,15,7000,-1349.0
MultiObjective,2200,15,10000,-1194.0
MultiObjective,2200,15,20000,-821.0
MultiObjective,2200,15,30000,-521.0
MultiObjective,2200,15,50000,-137.0
MultiObjective,2200,15,70000,-9.0
MultiObjective,2200,15,100000,836.0600000000004
MultiObjective,2200,16,100,-1932.0
MultiObjective,2200,16,200,-1872.0
MultiObjective,2200,16,500,-1784.0
MultiObjective,2200,16,1000,-1751.0
MultiObjective,2200,16,2000,-1637.0
MultiObjective,2200,16,3000,-1556.0
MultiObjective,2200,16,5000,-1426.0
MultiObjective,2200,16,7000,-1321.0
MultiObjective,2200,16,10000,-1195.0
MultiObjective,2200,16,20000,-817.0
MultiObjective,2200,16,30000,-499.0
MultiObjective,2200,16,50000,-134.0
MultiObjective,2200,16,70000,-8.0
MultiObjective,2200,16,100000,746.35
MultiObjective,2200,17,100,-1902.0
MultiObjective,2200,17,200,-1869.0
MultiObjective,2200,17,500,-1809.0
MultiObjective,2200,17,1000,-1772.0
MultiObjective,2200,17,2000,-1660.0
MultiObjective,2200,17,3000,-1568.0
MultiObjective,2200,17,5000,-1446.0
MultiObjective,2200,17,7000,-1339.0
MultiObjective,2200,17,10000,-1190.0
MultiObjective,2200,17,20000,-778.0
