algorithm,problem_id,run_id,evaluations,fitness
GSEMO,2200,10,200,-1885.0
GSEMO,2200,10,500,-1813.0
GSEMO,2200,10,1000,-1687.0
GSEMO,2200,10,2000,-1442.0
GSEMO,2200,10,3000,-1259.0
GSEMO,2200,10,5000,-942.0
GSEMO,2200,10,7000,-749.0
GSEMO,2200,10,10000,-571.0
GSEMO,2200,10,20000,-204.0
GSEMO,2200,10,30000,-67.0
GSEMO,2200,10,50000,-7.0
GSEMO,2200,10,70000,339.75
GSEMO,2200,10,100000,549.0099999999999
GSEMO,2200,11,100,-1957.0
GSEMO,2200,11,200,-1923.0
GSEMO,2200,11,500,-1840.0
GSEMO,2200,11,1000,-1707.0
GSEMO,2200,11,2000,-1463.0
GSEMO,2200,11,3000,-1280.0
GSEMO,2200,11,5000,-1000.0
GSEMO,2200,11,7000,-789.0
GSEMO,2200,11,10000,-542.0
GSEMO,2200,11,20000,-184.0
GSEMO,2200,11,30000,-56.0
GSEMO,2200,11,50000,-4.0
GSEMO,2200,11,70000,439.43000000000006
GSEMO,2200,11,100000,718.88
GSEMO,2200,12,100,-1995.0
GSEMO,2200,12,200,-1968.0
GSEMO,2200,12,500,-1888.0
GSEMO,2200,12,1000,-1764.0
GSEMO,2200,12,2000,-1493.0
GSEMO,2200,12,3000,-1286.0
GSEMO,2200,12,5000,-982.0
GSEMO,2200,12,7000,-762.0
GSEMO,2200,12,10000,-550.0
GSEMO,2200,12,20000,-193.0
GSEMO,2200,12,30000,-64.0
GSEMO,2200,12,50000,-3.0
GSEMO,2200,12,70000,484.59999999999997
GSEMO,2200,12,100000,769.9899999999999
GSEMO,2200,13,100,-1926.0
GSEMO,2200,13,200,-1892.0
GSEMO,2200,13,500,-1812.0
GSEMO,2200,13,1000,-1672.0
GSEMO,2200,13,2000,-1475.0
GSEMO,2200,13,3000,-1280.0
GSEMO,2200,13,5000,-987.0
GSEMO,2200,13,7000,-780.0
GSEMO,2200,13,10000,-538.0
GSEMO,2200,13,20000,-178.0
GSEMO,2200,13,30000,-73.0
GSEMO,2200,13,50000,-1.0
GSEMO,2200,13,70000,480.87000000000006
GSEMO,2200,13,100000,649.3899999999999
GSEMO,2200,14,100,-1983.0
GSEMO,2200,14,200,-1951.0
GSEMO,2200,14,500,-1844.0
GSEMO,2200,14,1000,-1703.0
GSEMO,2200,14,2000,-1456.0
GSEMO,2200,14,3000,-1283.0
GSEMO,2200,14,5000,-993.0
GSEMO,2200,14,7000,-763.0
GSEMO,2200,14,10000,-525.0
GSEMO,2200,14,20000,-173.0
GSEMO,2200,14,30000,-54.0
GSEMO,2200,14,50000,-1.0
GSEMO,2200,14,70000,590.2999999999998
GSEMO,2200,14,100000,715.5700000000002
GSEMO,2200,15,100,-1937.0
GSEMO,2200,15,200,-1910.0
GSEMO,2200,15,500,-1826.0
GSEMO,2200,15,1000,-1692.0
GSEMO,2200,15,2000,-1462.0
GSEMO,2200,15,3000,-1267.0
GSEMO,2200,15,5000,-993.0
GSEMO,2200,15,7000,-788.0
GSEMO,2200,15,10000,-564.0
GSEMO,2200,15,20000,-181.0
GSEMO,2200,15,30000,-59.0
GSEMO,2200,15,50000,106.53
GSEMO,2200,15,70000,628.7800000000002
GSEMO,2200,15,100000,770.4400000000003
GSEMO,2200,16,100,-1935.0
GSEMO,2200,16,200,-1910.0
GSEMO,2200,16,500,-1802.0
GSEMO,2200,16,1000,-1673.0
GSEMO,2200,16,2000,-1434.0
GSEMO,2200,16,3000,-1239.0
GSEMO,2200,16,5000,-946.0
GSEMO,2200,16,7000,-732.0
GSEMO,2200,16,10000,-516.0
GSEMO,2200,16,20000,-165.0
GSEMO,2200,16,30000,-53.0
GSEMO,2200,16,50000,144.18999999999994
GSEMO,2200,16,70000,684.2399999999998
GSEMO,2200,16,100000,791.1900000000002
GSEMO,2200,17,100,-2001.0
GSEMO,2200,17,200,-1965.0
GSEMO,2200,17,500,-1867.0
GSEMO,2200,17,1000,-1717.0
GSEMO,2200,17,2000,-1489.0
GSEMO,2200,17,3000,-1309.0
GSEMO,2200,17,5000,-1027.0
GSEMO,2200,17,7000,-786.0
GSEMO,2200,17,10000,-547.0
GSEMO,2200,17,20000,-186.0
GSEMO,2200,17,30000,-72.0
GSEMO,2200,17,50000,-8.0
GSEMO,2200,17,70000,404.26000000000016
GSEMO,2200,17,100000,786.2899999999997
GSEMO,2200,18,100,-1953.0
GSEMO,2200,18,200,-1923.0
GSEMO,2200,18,500,-1834.0
GSEMO,2200,18,1000,-1685.0
GSEMO,2200,18,2000,-1464.0
GSEMO,2200,18,3000,-1268.0
GSEMO,2200,18,5000,-993.0
GSEMO,2200,18,7000,-772.0
GSEMO,2200,18,10000,-527.0
GSEMO,2200,18,20000,-168.0
GSEMO,2200,18,30000,-55.0
GSEMO,2200,18,50000,-3.0
GSEMO,2200,18,70000,437.12999999999977
GSEMO,2200,18,100000,835.58
GSEMO,2200,19,100,-2059.0
GSEMO,2200,19,200,-2030.0
GSEMO,2200,19,500,-1917.0
GSEMO,2200,19,1000,-1758.0
GSEMO,2200,19,2000,-1509.0
GSEMO,2200,19,3000,-1315.0
GSEMO,2200,19,5000,-1000.0
GSEMO,2200,19,7000,-792.0
GSEMO,2200,19,10000,-564.0
GSEMO,2200,19,20000,-189.0
GSEMO,2200,19,30000,-58.0
GSEMO,2200,19,50000,199.22000000000008
GSEMO,2200,19,70000,529.2199999999999
GSEMO,2200,19,100000,668.7500000000003
GSEMO,2200,20,100,-1954.0
GSEMO,2200,20,200,-1912.0
GSEMO,2200,20,500,-1823.0
GSEMO,2200,20,1000,-1686.0
GSEMO,2200,20,2000,-1450.0
GSEMO,2200,20,3000,-1268.0
GSEMO,2200,20,5000,-964.0
GSEMO,2200,20,7000,-727.0
GSEMO,2200,20,10000,-499.0
GSEMO,2200,20,20000,-174.0
GSEMO,2200,20,30000,-61.0
GSEMO,2200,20,50000,-5.0
GSEMO,2200,20,70000,496.5300000000002
GSEMO,2200,20,100000,727.0299999999999
GSEMO,2200,21,100,-1935.0
GSEMO,2200,21,200,-1886.0
GSEMO,2200,21,500,-1825.0
GSEMO,2200,21,1000,-1687.0
GSEMO,2200,21,2000,-1443.0
GSEMO,2200,21,3000,-1239.0
GSEMO,2200,21,5000,-977.0
GSEMO,2200,21,7000,-776.0
GSEMO,2200,21,10000,-564.0
GSEMO,2200,21,20000,-184.0
GSEMO,2200,21,30000,-58.0
GSEMO,2200,21,50000,250.0499999999999
GSEMO,2200,21,70000,665.4899999999999
GSEMO,2200,21,100000,755.1
GSEMO,2200,22,100,-1953.0
GSEMO,2200,22,200,-1928.0
GSEMO,2200,22,500,-1833.0
GSEMO,2200,22,1000,-1677.0
GSEMO,2200,22,2000,-1429.0
GSEMO,2200,22,3000,-1249.0
GSEMO,2200,22,5000,-967.0
